Location,Strike,Dip,Direction,Rock Type
Ch-78,180,60,W,Meta basalt
,150,80,W,Meta basalt
,268,82,S,Meta basalt
,125,90,W,Meta basalt
,155,90,W,Meta basalt
,180,90,W,Meta basalt
Ch-79,238,78,N,Meta basalt
,55,10,S,Meta basalt
,54,3,S,Meta basalt
,85,90,S,Meta basalt
,135,65,W,Meta basalt
,225,70,N,Meta basalt
,225,52,N,Meta basalt
,222,55,N,Meta basalt
,235,78,N,Meta basalt
,225,70,N,Meta basalt
,275,80,S,Meta basalt
,50,85,N,Meta basalt
,295,30,S,Phyllite
,10,50,E,Phyllite
,265,82,N,Phyllite
,60,82,N,Phyllite
,185,82,W,Phyllite
,185,86,W,Phyllite
,188,82,W,Phyllite
,188,72,W,Phyllite
,300,85,S,Phyllite
,80,15,N,Phyllite
,310,76,S,Phyllite
,185,79,W,Phyllite
,290,36,S,Phyllite
,135,72,S,Phyllite
,55,10,N,Phyllite
,150,30,E,Phyllite
,130,53,E,Phyllite
,50,10,S,Phyllite
,65,42,S,Phyllite
,165,90,,Phyllite
,87,26,S,Phyllite
,120,88,S,Phyllite
,175,70,E,Phyllite
,50,82,N,Phyllite
,235,80,S,Phyllite
,180,85,W,Phyllite
,55,10,S,Phyllite
,180,64,E,Phyllite
,85,38,S,Phyllite
Ch-80,355,85,E,Meta basalt
,90,85,S,Meta basalt
,355,80,E,Meta basalt
,355,80,E,Meta basalt
,340,50,W,Meta basalt
,345,55,W,Meta basalt
,330,55,W,Meta basalt
,342,50,W,Meta basalt
,340,55,W,Meta basalt
,345,55,W,Meta basalt
,335,83,W,Meta basalt
,13,65,W,Meta basalt
,15,62,E,Meta basalt
,5,65,W,Meta basalt
,340,60,W,Meta basalt
,45,89,E,Meta basalt
,300,85,S,Meta basalt
,42,90,S,Meta basalt
,280,60,N,Meta basalt
,270,85,S,Meta basalt
,45,30,S,Meta basalt
,335,64,E,Meta basalt
,175,90,W,Meta basalt
,305,85,N,Meta basalt
,0,85,W,Meta basalt
,335,52,E,Meta basalt
,280,69,S,Meta basalt
,0,85,S,Meta basalt
,0,85,S,Meta basalt
,0,85,S,Meta basalt
,0,85,S,Meta basalt
,0,85,S,Meta basalt
,335,52,E,Meta basalt
,335,52,E,Meta basalt
,335,52,E,Meta basalt
,335,52,E,Meta basalt
,335,52,E,Meta basalt
,335,52,E,Meta basalt
,280,69,S,Meta basalt
,280,69,S,Meta basalt
,280,69,S,Meta basalt
,280,25,N,Meta basalt
,280,25,N,Meta basalt
,280,25,N,Meta basalt
,280,25,N,Meta basalt
,280,25,N,Meta basalt
,180,85,W,Meta basalt
,315,50,N,Meta basalt
,340,70,W,Meta basalt
,190,5,E,Meta basalt
,190,7,E,Meta basalt
,210,3,N,Meta basalt
,140,10,W,Meta basalt
,115,72,W,Meta basalt
,70,90,S,Meta basalt
,70,90,S,Meta basalt
,70,90,S,Meta basalt
,260,90,S,Meta basalt
,195,76,W,Meta basalt
,340,30,E,Meta basalt
,135,45,E,Meta basalt
,210,10,W,Meta basalt
,285,35,S,Meta basalt
,10,15,E,Meta basalt
,340,55,E,Meta basalt
,30,10,E,Meta basalt
,340,30,E,Meta basalt
,60,80,E,Meta basalt
,245,85,S,Meta basalt
,320,5,E,Meta basalt
,320,5,E,Meta basalt
,320,5,E,Meta basalt
,320,5,E,Meta basalt
,320,5,E,Meta basalt
,320,5,E,Meta basalt
,320,5,E,Meta basalt
,320,5,E,Meta basalt
Ch-81,305,15,E,Meta basalt
,230,5,W,Meta basalt
,10,85,W,Meta basalt
,10,30,E,Meta basalt
,230,70,E,Meta basalt
,240,83,E,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
,200,55,W,Meta basalt
Ch-82,245,78,S,Meta basalt
,155,15,E,Meta basalt
,265,75,N,Meta basalt
,325,85,W,Meta basalt
,235,79,E,Meta basalt
,20,10,S,Meta basalt
Ch-83,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,135,25,W,Meta basalt
,210,79,W,Meta basalt
,230,56,E,Meta basalt
,230,56,E,Meta basalt
,230,56,E,Meta basalt
,230,56,E,Meta basalt
,230,56,E,Meta basalt
,230,56,E,Meta basalt
,230,56,E,Meta basalt
,230,56,E,Meta basalt
