Serial No,Location,Strike,Dip,Sence,Thickness(cm),
1,Ch-63,25,70,W,2.5,
2,Ch-63,100,66,S,2,
3,Ch-63,185,70,W,2.2000000000000002,
4,Ch-63,325,70,S,1.1000000000000001,
5,Ch-63,102,67,S,0.40000000000000002,
6,Ch-63,185,63,W,3,
7,Ch-63,130,56,S,0.40000000000000002,
8,Ch-63,130,80,S,1,
9,Ch-63,80,65,S,0.5,
10,Ch-63,315,70,S,0.69999999999999996,
11,Ch-63,110,60,S,0.5,
12,Ch-63,305,65,S,0.40000000000000002,
13,Ch-63,130,75,S,2,
14,Ch-63,140,70,S,2.2000000000000002,
15,Ch-63,115,75,S,0.59999999999999998,
16,Ch-63,135,73,S,1.6000000000000001,
17,Ch-63,280,65,S,0.29999999999999999,
18,Ch-63,215,90,N,0.29999999999999999,
19,Ch-63,130,75,S,0.5,
20,Ch-63,120,65,S,0.29999999999999999,
21,Ch-63,115,70,S,0.5,
22,Ch-63,140,60,S,2.2999999999999998,
23,Ch-63,122,68,S,2.2000000000000002,
24,Ch-63,298,60,S,0.40000000000000002,
25,Ch-63,120,63,S,0.59999999999999998,
26,Ch-63,228,85,N,0.59999999999999998,
27,Ch-63,117,68,S,0.29999999999999999,
28,Ch-63,180,90,,0.40000000000000002,
29,Ch-63,205,90,,0.29999999999999999,
30,Ch-63,205,72,W,0.90000000000000002,
31,Ch-63,295,80,S,0.5,
32,Ch-63,25,80,E,0.5,
33,Ch-63,210,88,W,0.40000000000000002,
34,Ch-63,25,78,E,0.59999999999999998,
35,Ch-63,85,65,S,0.29999999999999999,
36,Ch-63,25,82,E,0.40000000000000002,
37,Ch-63,165,88,E,0.10000000000000001,
38,Ch-63,130,80,S,0.20000000000000001,
39,Ch-63,140,62,W,0.5,
40,Ch-63,130,82,S,0.10000000000000001,
41,Ch-63,130,85,S,0.10000000000000001,
42,Ch-63,218,70,W,0.29999999999999999,
43,Ch-63,70,75,S,0.59999999999999998,
44,Ch-63,230,85,N,0.20000000000000001,
45,Ch-63,125,62,S,0.69999999999999996,
46,Ch-63,135,76,S,2.2999999999999998,
47,Ch-63,215,90,,0.29999999999999999,
48,Ch-63,218,90,,0.20000000000000001,
49,Ch-63,195,60,W,8,
50,Ch-63,175,75,W,0.29999999999999999,
51,Ch-63,122,60,S,0.29999999999999999,
52,Ch-63,207,83,S,0.80000000000000004,
53,Ch-63,120,80,S,0.20000000000000001,
54,Ch-63,122,82,S,0.29999999999999999,
55,Ch-63,125,82,S,0.29999999999999999,
56,Ch-63,65,75,N,0.29999999999999999,
57,Ch-63,45,80,S,0.69999999999999996,
58,Ch-63,35,75,S,0.80000000000000004,
59,Ch-63,55,62,N,5.5,
60,Ch-63,200,70,W,0.69999999999999996,
61,Ch-63,35,65,W,0.29999999999999999,
62,Ch-63,65,69,N,0.69999999999999996,
63,Ch-63,105,74,S,1.2,
64,Ch-63,105,75,S,1.8,
65,Ch-63,107,78,S,1.2,
66,Ch-63,20,75,W,3.2000000000000002,
67,Ch-63,240,80,S,0.59999999999999998,
68,Ch-63,292,60,S,0.5,
69,Ch-63,220,88,E,0.5,
70,Ch-63,200,75,N,0.59999999999999998,
71,Ch-63,350,70,E,0.40000000000000002,
72,Ch-63,115,68,W,0.40000000000000002,
73,Ch-63,105,62,W,0.69999999999999996,
74,Ch-63,108,60,W,0.29999999999999999,
75,Ch-63,105,65,W,0.5,
76,Ch-63,102,60,W,0.29999999999999999,
77,Ch-63,300,60,S,0.20000000000000001,
78,Ch-63,210,56,W,2.5,
79,Ch-63,210,60,W,0.69999999999999996,
80,Ch-63,212,58,W,1,
81,Ch-63,210,57,W,1,
82,Ch-63,110,60,S,0.59999999999999998,
83,Ch-63,155,67,E,0.5,
84,Ch-63,165,75,E,0.29999999999999999,
85,Ch-63,200,65,N,1.5,
86,Ch-63,210,60,N,1.2,
87,Ch-63,210,62,N,1.2,
88,Ch-63,205,65,N,1.5,
89,Ch-63,205,62,N,0.69999999999999996,
90,Ch-63,140,70,E,1.5,
91,Ch-63,135,70,E,0.10000000000000001,
92,Ch-63,210,65,N,4.2000000000000002,
93,Ch-63,205,64,N,4,
94,Ch-63,205,65,N,4.5,
95,Ch-63,210,65,N,8,
96,Ch-63,345,25,N,0.69999999999999996,
97,Ch-63,35,82,W,0.69999999999999996,
98,Ch-63,355,35,E,0.29999999999999999,
99,Ch-63,215,38,W,0.59999999999999998,
100,Ch-63,35,60,E,1.2,
101,Ch-63,15,30,E,0.29999999999999999,
102,Ch-63,5,35,E,1.7,
103,Ch-63,40,75,W,2.7000000000000002,
104,Ch-63,30,50,W,2,
105,Ch-63,345,38,E,2.5,
106,Ch-63,260,48,N,2.3999999999999999,
107,Ch-63,70,85,N,0.29999999999999999,
108,Ch-63,65,75,N,1.6000000000000001,
109,Ch-63,320,65,E,0.90000000000000002,
110,Ch-63,60,70,N,1.6000000000000001,
111,Ch-63,55,75,N,1.7,
112,Ch-63,152,45,E,0.90000000000000002,
113,Ch-63,55,65,W,3.2000000000000002,
114,Ch-63,55,62,W,0.90000000000000002,
115,Ch-63,60,65,W,1.3,
116,Ch-63,55,65,W,1,
117,Ch-63,56,60,W,1.1000000000000001,
118,Ch-63,60,63,W,3,
119,Ch-63,145,80,E,7,
120,Ch-63,150,75,E,4,
121,Ch-63,150,72,E,4.7000000000000002,
122,Ch-63,45,65,W,3.5,
123,Ch-63,155,50,E,1.6000000000000001,
124,Ch-63,100,75,S,0.29999999999999999,
125,Ch-63,30,90,,0.20000000000000001,
126,Ch-63,280,80,S,1.1000000000000001,
127,Ch-63,282,78,S,0.5,
128,Ch-63,284,82,S,1,
129,Ch-63,290,85,S,0.5,
130,Ch-63,285,85,S,0.40000000000000002,
131,Ch-63,285,82,S,0.59999999999999998,
132,Ch-63,290,82,S,0.5,
133,Ch-63,220,65,W,1.3999999999999999,
134,Ch-63,40,35,W,0.90000000000000002,
135,Ch-63,340,40,E,0.69999999999999996,
136,Ch-63,225,65,N,1.6000000000000001,
137,Ch-63,325,85,N,0.59999999999999998,
138,Ch-63,325,56,N,1.1000000000000001,
139,Ch-63,282,65,S,2.5,
140,Ch-63,180,60,E,0.10000000000000001,
141,Ch-63,185,82,E,0.29999999999999999,
142,Ch-63,20,60,W,0.69999999999999996,
143,Ch-63,105,84,S,0.40000000000000002,
144,Ch-63,50,65,N,2.8999999999999999,
145,Ch-63,55,65,N,1,
146,Ch-63,135,76,S,0.29999999999999999,
147,Ch-63,10,75,N,0.80000000000000004,
148,Ch-63,137,73,S,0.80000000000000004,
149,Ch-63,335,78,N,0.40000000000000002,
150,Ch-63,13,69,N,0.69999999999999996,
151,Ch-63,45,85,S,0.29999999999999999,
152,Ch-63,332,80,N,0.20000000000000001,
153,Ch-63,350,84,N,0.20000000000000001,
154,Ch-63,303,85,N,0.40000000000000002,
155,Ch-63,205,50,W,0.59999999999999998,
156,Ch-63,135,77,S,0.29999999999999999,
157,Ch-63,45,55,N,1.3,
158,Ch-63,50,58,N,3.2999999999999998,
159,Ch-63,135,50,S,2.8999999999999999,
160,Ch-63,165,56,S,2.2000000000000002,
161,Ch-63,150,60,S,1.1000000000000001,
162,Ch-63,120,65,W,0.29999999999999999,
163,Ch-63,45,90,N,0.59999999999999998,
164,Ch-63,25,62,N,0.5,
165,Ch-63,35,70,N,0.5,
166,Ch-63,65,70,N,0.5,
167,Ch-63,125,52,S,0.40000000000000002,
168,Ch-63,15,73,N,0.10000000000000001,
169,Ch-63,348,74,S,0.29999999999999999,
170,Ch-63,30,72,N,1.6000000000000001,
171,Ch-63,135,62,S,0.29999999999999999,
172,Ch-63,165,64,S,0.59999999999999998,
173,Ch-63,275,65,S,0.20000000000000001,
174,Ch-63,265,72,N,0.20000000000000001,
175,Ch-63,305,57,S,0.40000000000000002,
176,Ch-63,170,70,S,0.10000000000000001,
177,Ch-63,325,70,S,0.29999999999999999,
178,Ch-63,55,50,S,0.10000000000000001,
179,Ch-63,10,75,N,0.10000000000000001,
180,Ch-63,308,61,N,0.29999999999999999,
181,Ch-63,145,66,S,0.20000000000000001,
182,Ch-63,195,60,W,0.29999999999999999,
183,Ch-63,10,69,W,1.2,
184,Ch-63,300,62,S,0.40000000000000002,
185,Ch-63,310,52,S,0.20000000000000001,
186,Ch-63,317,60,S,0.40000000000000002,
187,Ch-63,20,56,S,0.29999999999999999,
188,Ch-63,208,51,S,0.29999999999999999,
189,Ch-63,310,68,S,0.59999999999999998,
190,Ch-63,310,76,S,0.20000000000000001,
191,Ch-63,220,65,N,0.20000000000000001,
192,Ch-63,40,62,S,0.40000000000000002,
193,Ch-63,345,75,N,0.29999999999999999,
194,Ch-63,125,85,S,0.59999999999999998,
195,Ch-63,205,80,N,0.40000000000000002,
196,Ch-63,20,80,N,0.10000000000000001,
197,Ch-63,350,80,W,0.10000000000000001,
198,Ch-63,345,75,W,0.10000000000000001,
199,Ch-63,130,85,S,0.20000000000000001,
200,Ch-63,315,70,S,0.10000000000000001,
201,Ch-63,312,70,S,0.10000000000000001,
202,Ch-63,355,80,S,0.10000000000000001,
203,Ch-63,350,71,S,0.10000000000000001,
204,Ch-63,317,70,S,0.29999999999999999,
205,Ch-63,20,80,N,2.7999999999999998,
206,Ch-63,145,82,S,0.5,
207,Ch-63,130,72,S,0.29999999999999999,
208,Ch-63,340,65,S,0.10000000000000001,
209,Ch-63,135,82,S,0.40000000000000002,
210,Ch-63,105,69,S,0.20000000000000001,
211,Ch-63,165,70,S,0.29999999999999999,
212,Ch-63,140,85,S,0.20000000000000001,
213,Ch-63,140,85,S,0.20000000000000001,
214,Ch-63,140,85,S,0.20000000000000001,
215,Ch-63,140,85,S,0.20000000000000001,
216,Ch-63,30,65,S,0.40000000000000002,
217,Ch-63,35,70,S,0.29999999999999999,
218,Ch-63,25,60,S,1.2,
219,Ch-63,110,65,S,0.20000000000000001,
220,Ch-63,140,79,S,0.20000000000000001,
221,Ch-63,140,79,S,0.20000000000000001,
222,Ch-63,140,79,S,0.20000000000000001,
223,Ch-63,140,79,S,0.20000000000000001,
224,Ch-63,140,79,S,0.29999999999999999,
225,Ch-63,140,79,S,0.29999999999999999,
226,Ch-63,15,16,E,0.20000000000000001,
227,Ch-63,35,63,S,0.5,
228,Ch-63,15,66,S,0.29999999999999999,
229,Ch-63,30,55,S,0.20000000000000001,
230,Ch-63,45,50,S,2.2000000000000002,
231,Ch-63,215,65,N,1.2,
232,Ch-63,205,75,N,1.5,
233,Ch-63,200,80,N,2.2999999999999998,
234,Ch-63,205,70,N,5.5,
